TCODE,TIMESTAMP,FREQ,BW,TXID,AMP,DEVCNT,X,Y,Z,TLW
1,2015-08-20T15:48:30,2412000000,22000000,3840169614827193480,-56.0,4,99.55,64.33,0.0,0
1,2015-08-20T15:48:30,2412000000,22000000,2845716963044295771,-89.0,1,102.01,63.56,0.0,0
1,2015-08-20T15:48:30,2412000000,22000000,3840169614833681540,-66.0,4,93.49,65.26,0.0,0
1,2015-08-20T15:48:30,2412000000,22000000,3840169614769521742,-34.0,6,36.54,33.01,0.0,0
2,2015-08-20T15:48:30,2412000000,22000000,3840169614827193480,-58.0,5,99.22,63.89,0.0,0
2,2015-08-20T15:48:30,2412000000,22000000,2785762642672092296,-58.0,5,98.47,64.01,0.0,0
2,2015-08-20T15:48:30,2412000000,22000000,2249551794131043464,-78.6,1,37.71,34.01,0.0,0
2,2015-08-20T15:48:30,2412000000,22000000,3840169614833681540,-66.0,5,94.65,64.5,0.0,0
2,2015-08-20T15:48:30,2412000000,22000000,3840169614769521742,-32.5,6,36.74,33.33,0.0,0
3,2015-08-20T15:48:30,2412000000,22000000,3840169614833681540,-67.4,4,93.57,64.71,0.0,0
3,2015-08-20T15:48:30,2412000000,22000000,3840169614827193480,-57.7,5,98.72,63.94,0.0,0
3,2015-08-20T15:48:30,2412000000,22000000,3840169614769521742,-32.6,6,36.4,33.93,0.0,0
3,2015-08-20T15:48:30,2412000000,22000000,2249551794131043464,-56.8,3,95.6,62.69,0.0,0
3,2015-08-20T15:48:30,2412000000,22000000,2670921200072983684,-67.4,5,91.97,63.19,0.0,0
3,2015-08-20T15:48:30,2412000000,22000000,2368052961189692552,-58.0,2,101.05,64.3,0.0,0
3,2015-08-20T15:48:30,2412000000,22000000,3840169614836171867,-88.0,2,79.91,80.66,0.0,0
4,2015-08-20T15:48:31,2412000000,22000000,3840169614833681540,-66.0,5,93.89,64.73,0.0,0
4,2015-08-20T15:48:31,2412000000,22000000,3840169614827193480,-58.0,4,98.28,63.94,0.0,0
4,2015-08-20T15:48:31,2412000000,22000000,3840169614769521742,-34.0,6,36.31,34.16,0.0,0
4,2015-08-20T15:48:31,2412000000,22000000,2412244974857225294,-34.0,5,35.35,35.08,0.0,0
4,2015-08-20T15:48:31,2412000000,22000000,2708356959627183185,-63.3,2,71.04,14.09,0.0,0
4,2015-08-20T15:48:31,2412000000,22000000,2293743807798576206,-34.0,5,35.68,34.69,0.0,0
4,2015-08-20T15:48:31,2412000000,22000000,2670921200072983684,-66.3,4,92.3,63.16,0.0,0
4,2015-08-20T15:48:31,2412000000,22000000,2848812985857999950,-37.5,5,35.98,34.93,0.0,0
5,2015-08-20T15:48:31,2412000000,22000000,3840169614833681540,-66.0,5,94.36,64.63,0.0,0
5,2015-08-20T15:48:31,2412000000,22000000,3840169614827193480,-58.0,5,98.32,63.92,0.0,0
5,2015-08-20T15:48:31,2412000000,22000000,3840169614769521742,-34.0,6,36.14,34.39,0.0,0
5,2015-08-20T15:48:31,2412000000,22000000,2293743807798576206,-60.0,2,39.75,38.91,0.0,0
5,2015-08-20T15:48:31,2412000000,22000000,2708356959627183185,-76.0,1,66.03,17.09,0.0,0
5,2015-08-20T15:48:31,2412000000,22000000,2848812985857999950,-38.0,4,36.47,35.28,0.0,0
5,2015-08-20T15:48:31,2412000000,22000000,3840169614836171867,-94.0,1,83.23,78.09,0.0,0
5,2015-08-20T15:48:31,2412000000,22000000,2412244974857225294,-66.0,1,36.53,35.58,0.0,0
6,2015-08-20T15:48:31,2412000000,22000000,3840169614827193480,-58.0,5,98.38,63.93,0.0,0
6,2015-08-20T15:48:31,2412000000,22000000,2249551794131043464,-86.6,1,94.44,59.79,0.0,0
6,2015-08-20T15:48:31,2412000000,22000000,3840169614833681540,-67.1,4,94.42,64.17,0.0,0
6,2015-08-20T15:48:31,2412000000,22000000,3840169614769521742,-34.0,6,36.04,34.51,0.0,0
7,2015-08-20T15:48:31,2412000000,22000000,3840169614833681540,-66.4,4,94.73,64.17,0.0,0
