TCODE,TIMESTAMP,FREQ,BW,TXID,AMP,DEVCNT,X,Y,Z,TLW
10,2015-08-20T15:48:32,2412000000,22000000,2293743807856247944,-56.6666679382,4,99,64,0,0
10,2015-08-20T15:48:32,2412000000,22000000,2412244974914897032,-57.6666679382,5,98,63,0,0
10,2015-08-20T15:48:32,2412000000,22000000,2708356959627183185,-62.0,3,71,13,0,0
10,2015-08-20T15:48:32,2412000000,22000000,2916648657166402696,-53.0,5,99,63,0,0
10,2015-08-20T15:48:32,2412000000,22000000,2848812985857999950,-36.4615402222,6,36,34,0,0
10,2015-08-20T15:48:32,2412000000,22000000,2249551794131043464,-56.6666679382,4,99,64,0,0
10,2015-08-20T15:48:32,2412000000,22000000,3840169614769521742,-32.5333328247,6,36,35,0,0
10,2015-08-20T15:48:32,2412000000,22000000,3005876405172307080,-60.0,2,100,64,0,0
10,2015-08-20T15:48:32,2412000000,22000000,3840169614833681540,-66.0,3,95,65,0,0
10,2015-08-20T15:48:32,2412000000,22000000,3840169614827193480,-58.0,5,99,63,0,0
11,2015-08-20T15:48:32,2412000000,22000000,2412244974914897032,-78.0,1,75,11,0,0
11,2015-08-20T15:48:32,2412000000,22000000,3005876405172307080,-60.0,1,102,63,0,0
11,2015-08-20T15:48:32,2412000000,22000000,3840169614833681540,-65.0,5,90,63,0,0
11,2015-08-20T15:48:32,2412000000,22000000,2708356959627183185,-62.0,2,71,13,0,0
11,2015-08-20T15:48:32,2412000000,22000000,2293743807856247944,-87.6666641235,1,75,11,0,0
11,2015-08-20T15:48:32,2412000000,22000000,3840169614769521742,-34.0,6,37,33,0,0
11,2015-08-20T15:48:32,2412000000,22000000,3840169614827193480,-58.0,6,98,63,0,0
11,2015-08-20T15:48:32,2412000000,22000000,2848812985857999950,-37.65625,6,35,34,0,0
11,2015-08-20T15:48:32,2412000000,22000000,2916648657166402696,-52.0,4,100,63,0,0
11,2015-08-20T15:48:32,2412000000,22000000,2249551794131043464,-86.8695678711,1,75,11,0,0
12,2015-08-20T15:48:32,2412000000,22000000,2412244974914897032,-57.3333320618,4,98,63,0,0
12,2015-08-20T15:48:32,2412000000,22000000,3840169614833681540,-66.0,5,91,61,0,0
12,2015-08-20T15:48:32,2412000000,22000000,3840169614827193480,-57.5,6,97,62,0,0
12,2015-08-20T15:48:32,2412000000,22000000,3840169614769521742,-34.0,6,35,35,0,0
12,2015-08-20T15:48:32,2412000000,22000000,2708356959627183185,-62.509803772,3,70,13,0,0
12,2015-08-20T15:48:32,2412000000,22000000,2848812985857999950,-38.0,5,35,33,0,0
12,2015-08-20T15:48:32,2412000000,22000000,2293743807856247944,-56.6666679382,4,98,63,0,0
12,2015-08-20T15:48:32,2412000000,22000000,2249551794131043464,-57.0322570801,4,98,64,0,0
13,2015-08-20T15:48:32,2412000000,22000000,3840169614833681540,-68.0,4,93,63,0,0
13,2015-08-20T15:48:32,2412000000,22000000,3840169614827193480,-58.0,5,98,63,0,0
13,2015-08-20T15:48:32,2412000000,22000000,2848812985857999950,-37.4769248962,6,35,34,0,0
13,2015-08-20T15:48:32,2412000000,22000000,2708356959627183185,-64.0,3,71,17,0,0
13,2015-08-20T15:48:32,2412000000,22000000,3840169614769521742,-34.0,6,36,34,0,0
13,2015-08-20T15:48:32,2412000000,22000000,2412244974914897032,-57.8888893127,4,98,63,0,0
14,2015-08-20T15:48:33,2412000000,22000000,3840169614833681540,-66.0,5,92,63,0,0
14,2015-08-20T15:48:33,2412000000,22000000,2708356959627183185,-65.9655151367,2,70,14,0,0
14,2015-08-20T15:48:33,2412000000,22000000,2249551794131043464,-88.0,1,75,11,0,0
14,2015-08-20T15:48:33,2412000000,22000000,3840169614769521742,-34.0,6,36,35,0,0
14,2015-08-20T15:48:33,2412000000,22000000,3840169614827193480,-58.0,5,98,63,0,0
14,2015-08-20T15:48:33,2412000000,22000000,2848812985857999950,-36.0,6,36,34,0,0
14,2015-08-20T15:48:33,2412000000,22000000,2412244974914897032,-58.0,2,101,62,0,0
15,2015-08-20T15:48:33,2412000000,22000000,2293743807856247944,-58.0,2,100,64,0,0
15,2015-08-20T15:48:33,2412000000,22000000,3840169614833681540,-66.0,5,90,63,0,0
